Self_Regulation_Technique_Name,Time_Required (min),Self_Regulation_Category,Description,Instructions,
Self-Compassion Break,2-3,Emotional Regulation,A quick practice to offer yourself kindness and understanding during moments of difficulty or suffering.,"1. Notice suffering: ""This is a moment of suffering."" 2. Common humanity: ""Suffering is a part of life."" 3. Self-kindness: Place hand on heart, ""May I be kind to myself.""",
Expressive Writing,15-20,Cognitive Management,Writing freely about thoughts and feelings related to a stressful or emotional event to process and gain perspective.,Write continuously for 15-20 minutes about a challenging experience or your deepest thoughts and feelings without worrying about grammar or coherence.,
The STOP Skill,1,Emotional Regulation,A DBT (Dialectical Behavior Therapy) skill to create a pause before reacting impulsively to intense emotions.,"Stop what you're doing. Take a step back. Observe your thoughts, feelings, and sensations. Proceed mindfully.",
Mindful Eating,10-20,Mindfulness,"Paying full attention to the experience of eating, including the taste, texture, and smell of food.","Eat slowly, savoring each bite. Notice the colors, aromas, and textures. Pay attention to your body's hunger and fullness cues.",
Active Listening,Variable,Communication,Fully concentrating on what is being said rather than just passively hearing the message.,"Give the speaker your full attention, make eye contact, nod occasionally, and summarize what you heard to confirm understanding.",
Reframing,2-5,Cognitive Restructuring,"Changing the way you look at a situation, thought, or belief to find a more positive or constructive interpretation.","When faced with a negative situation, try to find an alternative, more positive or neutral way of viewing it.",
Mirror Work,1-5,Self-Esteem,Standing in front of a mirror and saying positive affirmations to yourself to build self-love and confidence.,"Look into your eyes in a mirror and say empowering affirmations such as, ""I love and accept myself,"" or ""I am worthy.""",
Nature Immersion,15-60,Mood Regulation,Spending time in natural environments to reduce stress and improve well-being.,"Go for a walk in a park, sit by a lake, or simply observe nature from a window. Focus on the sights, sounds, and smells.",
Values Clarification,10-20,Decision Making,Identifying and prioritizing your core values to guide your choices and actions.,"List your top 3-5 core values (e.g., honesty, creativity, family). Use them as a compass when making important decisions.",
The 10-Minute Declutter,10,Productivity,Quickly tidying a small area to reduce mental clutter and increase a sense of control.,"Set a timer for 10 minutes and quickly tidy up one small area – your desk, a drawer, or a corner of a room.",
Positive Self-Talk,Variable,Cognitive Restructuring,Replacing negative internal dialogue with encouraging and supportive thoughts.,"Become aware of your inner critic. When you notice negative self-talk, consciously replace it with a positive, realistic alternative.",
Gentle Stretching,5-10,Physical Regulation,"Performing light, easy stretches to release physical tension and improve flexibility.","Do a few gentle stretches for your neck, shoulders, or back. Hold each stretch for 20-30 seconds, breathing deeply.",
Compassionate Reappraisal,5-10,Cognitive Restructuring,Reinterpreting a stressful situation or thought from a place of kindness and understanding towards oneself.,"Instead of self-criticism, imagine how a compassionate friend would view your situation or thoughts. Offer yourself the same kindness.",
"The ""Do Nothing"" Practice",5-10,Mindfulness,"Deliberately sitting or lying down and doing absolutely nothing for a short period, just being present.","Find a quiet spot, set a timer, and simply sit or lie without engaging in any activity, thoughts, or distractions.",
Boundary Setting,5,Communication,"Clearly defining your limits and communicating them respectfully to others to protect your time, energy, and well-being.","Identify your personal limits. Practice saying ""no"" politely when something oversteps your boundaries, or clearly state what you need.",
Mood Tracking,1-2,Mood Regulation,"Regularly noting your mood to identify patterns, triggers, and the effectiveness of coping strategies.","Use a journal or an app to record your mood at different times of the day, along with any significant events or feelings.",
Journaling for Insights,10-20,Cognitive Management,"Writing freely to explore thoughts, feelings, and experiences, leading to self-discovery and problem-solving.","Dedicate time to write about a specific problem, a recurring feeling, or a challenging situation to gain clarity and new perspectives.",
Visual Cues,1,Productivity,Placing visual reminders in your environment to prompt desired behaviors or habits.,"Leave your running shoes by the door, put your vitamins next to your toothbrush, or place a sticky note with a reminder on your monitor.",
"The ""One-Minute Rule""",1,Behavioral Activation,"Performing any task that takes less than one minute immediately, to prevent procrastination and build momentum.","If a task can be done in under 60 seconds (e.g., put away a dish, reply to a quick email), do it right away.",
Sensory Input Adjustment,Variable,Physiological Regulation,Modifying your environment's sensory input to create a more calming or stimulating atmosphere.,"Dim lights, play calming music, or use earplugs to reduce overstimulation. Alternatively, open a window or play energizing music.",
Skill Building,Variable,Self-Efficacy,Learning and practicing new skills to increase competence and confidence in handling challenges.,"Identify a small, achievable skill you want to learn (e.g., basic coding, a new recipe) and dedicate regular time to practice it.",
Reflective Questioning,5,Cognitive Management,Asking yourself open-ended questions to encourage deeper thinking and self-awareness.,"At the end of the day, ask yourself: ""What went well today? What was challenging? What did I learn? What could I do differently tomorrow?""",
The Rain Practice,2-5,Mindfulness,A quick grounding exercise using an acronym to mindfully observe and accept difficult thoughts and feelings.,Recognize the feeling. Allow it to be there. Investigate with kindness. Non-identification (don't get lost in it).,
Cognitive Diffusion,2-5,Cognitive Restructuring,"Creating distance from your thoughts, viewing them as mental events rather than absolute truths.","Observe thoughts as if they are clouds passing by or words on a screen. Say ""I'm having the thought that..."" before a negative thought.",
"The ""Why?"" Chain",5-10,Problem-Solving,"Asking ""why?"" repeatedly to get to the root cause of a problem or feeling.","Start with a problem, then ask ""Why is this happening?"" for each answer until you uncover the core issue.",
Guided Imagery,10-20,Relaxation,Using verbal cues to help you visualize a calming place or scenario to reduce stress.,"Listen to a guided meditation or a recording that describes a peaceful scene, engaging all your senses in the visualization.",
Mini-Break Movement,1-2,Physical Regulation,Incorporating short bursts of physical activity throughout the day to re-energize and reduce sedentary time.,"Every hour, stand up, stretch, walk a few steps, or do a few jumping jacks for 1-2 minutes.",
Problem-Solving Steps,10-30,Decision Making,"A structured approach to identifying, analyzing, and resolving problems systematically.",1. Define the problem. 2. Brainstorm solutions. 3. Evaluate options. 4. Choose the best. 5. Implement. 6. Review.,
Mindful Walking,5-15,Mindfulness,Paying attention to the physical sensations of walking and the environment around you.,"As you walk, notice the feeling of your feet on the ground, the movement of your legs, and the sights and sounds around you.",
"The ""Worst-Case Scenario""",5-10,Anxiety Management,Deliberately thinking through your worst fear to diminish its power and create coping plans.,"Identify your biggest fear related to a situation. Play out the worst possible outcome, then brainstorm how you would cope if it happened.",
Energy Audit,5,Productivity,Assessing how different activities impact your energy levels throughout the day.,"Over a day or week, note down activities and how energized or drained you feel afterward to understand your energy patterns.",
Digital Detox,Variable,Lifestyle Adjustment,Taking a planned break from digital devices and social media to reduce overstimulation and improve focus.,Set specific times or days where you completely disconnect from non-essential digital devices and engage in other activities.,
Acceptance,Variable,Emotional Regulation,Acknowledging and allowing difficult emotions or situations to exist without resistance or judgment.,"Instead of fighting a difficult feeling, acknowledge its presence without trying to change it immediately. ""I notice I'm feeling angry right now.""",
"The ""Rule of 3""",5,Productivity,Focusing on completing only the top three most important tasks for the day.,"At the start of your day, identify the 3 most crucial tasks you need to accomplish and prioritize them above all else.",
Belly Breathing,2-5,Breathing Technique,"Deep, diaphragmatic breathing that engages the diaphragm, promoting relaxation and reducing stress.","Place one hand on your chest and one on your belly. Inhale deeply through your nose, feeling your belly rise. Exhale slowly through your mouth.",
Expressing Needs,Variable,Communication,"Clearly and assertively communicating your wants, needs, and boundaries to others.","Use ""I"" statements to articulate what you need or want in a situation without blaming or demanding.",
Cognitive Defusion from Urges,5-10,Emotional Regulation,Detaching from intense cravings or impulses by observing them rather than acting on them.,"When an urge arises, label it as ""an urge"" and notice the physical sensations, without engaging in the desired behavior.",
Value-Driven Action,Variable,Behavioral Activation,"Engaging in activities that align with your core values, even when motivation is low.","Identify a value (e.g., connection). Choose a small action that reflects it (e.g., call a friend), and do it, regardless of how you feel.",
"The ""Delete, Delegate, Do"" Rule",5-10,Productivity,A quick decision-making process for managing your to-do list efficiently.,"For each task: Can it be Deleted? Can it be Delegated? If not, Do it now or schedule it.",
S.M.A.R.T. Goals,10-20,Goal Setting,A framework for setting clear and achievable goals.,"Ensure your goals are Specific, Measurable, Achievable, Relevant, and Time-bound.",
Habit Reversal Training,Variable,Behavioral Regulation,A technique for identifying and replacing unwanted repetitive behaviors with a competing response.,"Identify the specific behavior and its triggers. Choose a less noticeable, non-harmful competing behavior to perform instead.",
"The ""Okay"" Hand Signal",1,Emotional Regulation,A discreet signal to a trusted person when you need support or a break in a social situation.,"Agree with a friend or family member on a subtle hand signal (e.g., touching your ear) that means ""I need a moment"" or ""Please help me disengage.""",
"The ""Body Doubling"" Hack",Variable,Productivity/Focus,"Working or performing tasks alongside another person (virtually or in-person) to increase focus and motivation, even if they're doing something different.","Find a friend, colleague, or an online ""body doubling"" stream/app. Simply exist in the same space (physical or virtual) while you both work on separate tasks.",
Sensory Stimming Kits,Variable,Emotional Regulation,"Curating a personal collection of items that provide comforting or regulating sensory input (tactile, visual, auditory, olfactory).","Gather items like fidget toys, textured fabrics, smooth stones, noise-canceling headphones, a favorite scent, or a small visual stim toy. Use them when feeling overwhelmed or understimulated.",
"Hyperfocus ""Leveraging""",Variable,Productivity/Focus,"Deliberately directing periods of intense, concentrated focus towards desired tasks, rather than fighting or being derailed by them.","When you feel hyperfocus ""kicking in,"" quickly direct it towards a task you need to complete. Remove all other distractions to maximize the period of intense concentration.",
"The ""Pre-computation"" Hack",5-15,Executive Function,"Mentally or physically planning out all the tiny, often overlooked steps of a task before starting, to avoid getting stuck or overwhelmed.","Before a complex task (e.g., cooking a meal, going out), mentally walk through every single micro-step and identify potential sticking points or forgotten items. Write them down if helpful.",
Visual Checklists (for everything),45778,Executive Function,"Using highly visual, often simplified, checklists for routines or tasks to externalize memory and reduce mental load.","Create short, clear, visual checklists (written, drawn, or digital) for daily routines (e.g., morning routine, leaving the house, going to bed). Check off each step as you go.",
"Nope, Not Today Boundaries",1,Emotional Regulation/Communication,"Firmly but politely declining commitments or social interactions when mental/emotional capacity is low, without over-explaining.","When feeling drained or overstimulated, practice saying a simple, clear ""No, thank you, I won't be able to make it today,"" without feeling obligated to provide extensive reasons.",
Task Batching by Energy Level,45935,Productivity,"Grouping similar types of tasks or tasks requiring similar energy levels together, rather than mixing them throughout the day.","Categorize your to-do list by energy demand (e.g., ""low effort admin,"" ""high focus creative,"" ""physical tasks"") and tackle them in blocks according to your fluctuating energy.",
"Environmental ""Sensory Zoning""",Variable,Sensory Regulation,"Deliberately designing different areas of your home or workspace to cater to specific sensory needs (e.g., quiet zone, stim zone, bright zone).","Designate a quiet corner with soft lighting and comfortable seating, a brighter area for focused work, or a space where you can safely engage in repetitive movements without disturbing others.",
"The ""Autistic Crayon Box"" Analogy",45778,Communication/Self-Understanding,"Understanding that social interactions might require selecting a specific ""social script"" or ""tool"" rather than relying on intuitive flow.","Before a social interaction, mentally identify what kind of ""script"" or ""tool"" might be needed (e.g., active listening, asking specific questions, focusing on a shared interest).",
Shutdown/Meltown Recovery Plan,5-15,Emotional Regulation,"Having a pre-planned set of steps to take when approaching or experiencing sensory overload, emotional dysregulation, or burnout.","Identify your personal shutdown/meltdown triggers and early warning signs. Create a step-by-step plan: e.g., go to quiet space, use sensory kit, deep breathing, no demands for X time.",
"The ""Transition Object""",45689,Transition Management,"Using a specific, comforting object or routine to help bridge the gap between tasks or environments, reducing transition difficulty.","Carry a specific fidget toy, listen to a particular song, or perform a small, consistent ritual (e.g., tap your fingers 3 times) when moving from one activity/place to another.",
Info Dumping (with consent),Variable,Communication/Cognitive Mgmt,Expressing a highly specialized interest or topic in detail to a willing listener as a way to regulate and share passion.,"Find a trusted friend or online community who enjoys or tolerates ""info dumping."" Ask ""Is it okay if I info-dump about X for a few minutes?"" and share your passion.",
"Task ""Gamification""",5,Motivation/Productivity,Turning mundane or difficult tasks into a game or challenge to make them more engaging and achievable.,"Assign points to chores, race against a timer, or create a reward system (e.g., ""If I finish this, I get 15 min of special interest time"").",
Masking Break Scheduling,5-15,Energy Management/Well-being,Deliberately planning short periods throughout the day to unmask and relax social performance.,"Identify times or places where you can safely be yourself (e.g., in your car, a private room). Schedule short breaks to drop the mask and recharge.",
"The ""Fidget Tool Kit"" (Everywhere)",1,Sensory Regulation,"Having a variety of fidget tools strategically placed in different common locations (desk, bag, car) for immediate access.","Keep a different type of fidget (e.g., tangle, smooth stone, ring) in your pocket, on your desk, in your car, and in your bag for easy, immediate access when needed.",
Sensory Diet Planning,45935,Sensory Regulation,"Proactively incorporating a variety of sensory inputs throughout the day to maintain optimal regulation, not just in crisis.","Plan your day to include both calming (e.g., weighted blanket, quiet time) and stimulating (e.g., movement breaks, bright colors) sensory activities.",
Spoons Metaphor Application,45689,Energy Management/Self-Compassion,"Using the ""Spoon Theory"" to realistically assess daily energy levels and set achievable limits without guilt.","At the start of the day, assess how many ""spoons"" (units of energy) you have. Allocate them to tasks, understanding that certain activities cost more spoons and you have a finite supply.",
Anchor Clothes,Variable,Sensory Comfort/Routine,"Relying on specific comfortable clothing items that provide consistent, non-distracting sensory input.","Identify clothing items (e.g., a specific soft shirt, comfortable socks, a loose pair of pants) that feel consistently ""right"" and wear them often to reduce sensory overwhelm.",
"Task ""Time-Blocking"" (Visual)",45935,Productivity/Executive Function,Using visual cues like sticky notes or colored calendar blocks to represent dedicated time for specific tasks.,Use a physical planner with colored markers or a digital calendar to visually block out time for tasks. Seeing the blocks helps with transitions and focus.,
Parallel Play for Adults,Variable,Social Connection/Low Demand,"Engaging in separate, individual activities alongside another person, providing social connection without direct interaction pressure.","Suggest doing individual activities (e.g., reading, crafting, working on laptops) in the same room as a friend or partner, enjoying their presence without needing constant conversation.",
"The ""Noise Masking"" Strategy",Variable,Sensory Regulation,"Using specific background sounds (e.g., brown noise, certain music) to create a consistent auditory environment and reduce sensory overwhelm.","Play brown noise, lo-fi music, or instrumental tracks while working or relaxing to block out distracting or unpredictable environmental sounds.",https://www.abtaba.com/blog/noise-sensitivity-in-autism
Interest-Led Learning for Chores,Variable,Motivation/Productivity,Connecting disliked chores or tasks to a special interest or hyperfocus to make them more tolerable.,"If you love history, listen to a history podcast while doing dishes. If you love organizing, categorize items by obscure historical periods.","motivation, productivity, executive function, ADHD, hyperfocus, special interest"
Recharge Zone Creation,Variable,Emotional Regulation/Sensory,"Designating a specific, personalized space in your home solely for sensory regulation and decompression.","Set up a ""recharge zone"" with specific comfort items: a weighted blanket, noise-canceling headphones, dim lighting, soft textures, and preferred stim tools.","emotional regulation, sensory integration, self-soothing, calm space, neurodiversity, sensory overload"
"The ""External Brain"" System",45778,Executive Function/Memory,"Relying heavily on external tools (apps, notebooks, voice memos) to offload memory and planning tasks.","Use a dedicated notes app, a small notebook, or voice memos to immediately record thoughts, ideas, tasks, and appointments as they arise.","executive function, memory, planning, cognitive load, productivity, ADHD, working memory"
Routine Anchors (Fixed Points),1,Routine Management,"Identifying one or two absolutely non-negotiable fixed points in your day to help structure other, more flexible routines.","Choose one or two things you always do at the same time (e.g., take medication, morning coffee, walk the dog) and build other routines around these anchors.","routine management, habit formation, executive function, predictability, daily structure"
Comfort Food (Sensory Focused),Variable,Self-Soothing/Sensory,"Using specific foods or drinks for their sensory properties (texture, temperature, taste) to provide comfort and regulation.","Keep favorite comfort foods or drinks on hand that provide specific sensory input you enjoy (e.g., crunchy snacks, warm beverages, smooth textures).","self-soothing, sensory regulation, emotional regulation, comfort, neurodiversity, emotional eating"
Permission to Be Imperfect,1,Self-Compassion/Productivity,"Actively giving oneself permission to complete tasks ""good enough"" rather than striving for unattainable perfection.","When starting a task, tell yourself, ""It doesn't have to be perfect, it just needs to be done."" Focus on completion over flawless execution.","self-compassion, perfectionism, productivity, anxiety, burnout, executive function, ADHD"
Mini-Exchanges (Social),Variable,Communication/Energy Management,"Favoring short, concise social interactions over prolonged or open-ended conversations.","In social settings, aim for brief, direct exchanges. Ask specific questions, provide concise answers, and excuse yourself gracefully when social energy depletes.","social communication, energy management, social fatigue, neurodiversity, boundaries, communication strategies"
"The ""Sensory Check-in""",45689,Mindfulness/Sensory,Regularly pausing to scan your body and environment for sensory input that might be causing distress or comfort.,"Periodically throughout the day, pause and ask: ""What do I hear, see, feel, smell, taste right now? Is anything bothering me? What feels good?""","mindfulness, sensory awareness, self-regulation, distress, grounding, interoception, autism"
Interest-Based Rewards,5,Motivation/Productivity,"Rewarding task completion with dedicated time for special interests, hobbies, or deep dives into preferred topics.","After completing a challenging task, allow yourself a pre-determined amount of time to engage fully in your favorite special interest or hobby, guilt-free.","motivation, productivity, rewards, special interest, hyperfocus, behavioral reinforcement, ADHD, autism"
"The ""Open Tabs"" Method",Variable,Cognitive Management,"Keeping digital tabs or physical items open as visual reminders of unfinished tasks or thoughts, acting as an external working memory.","Instead of closing browser tabs or putting physical items away immediately, leave them ""open"" or visible as a prompt for later action or thought processing.",
Headphone Signals,Variable,Social Communication/Boundary,"Using headphones (even without music) as a clear, non-verbal signal that you're unavailable for conversation or need a quiet space.","Wear headphones in public, shared living spaces, or even at your desk to subtly communicate ""do not disturb"" or ""I need to focus/regulate.""","social communication, boundaries, non-verbal cues, sensory management, focus, privacy, autism, sensory overload"
Parallel Play Chores,Variable,Productivity/Motivation,"Doing household chores or tasks simultaneously with a partner or housemate, even if doing separate tasks, for shared motivation.","Coordinate with a housemate to do separate chores at the same time (e.g., one cleans the kitchen, the other does laundry) to create a shared productive atmosphere.","productivity, motivation, shared tasks, accountability, social facilitation, parallel play, neurodiversity"
"The ""Task Interleaving"" Hack",Variable,Productivity/Focus,"Alternating between different types of tasks (e.g., high-focus, low-focus, physical) to maintain engagement and prevent burnout.","If you have multiple tasks, rotate between them when focus wanes on one, or intersperse a demanding task with a less demanding one.","productivity, focus, engagement, burnout prevention, task switching, cognitive flexibility"
Weighted Lap Pads/Blankets,Variable,Sensory Regulation/Calming,"Using weighted items on the lap or body to provide deep pressure input, which can be calming and help with focus.","Place a weighted lap pad or small weighted blanket on your lap while working, studying, or resting to experience calming deep pressure.","sensory regulation, deep pressure, calming, focus, anxiety, proprioception, autism, sensory processing"
Stimming in Disguise,Variable,Sensory Regulation/Social Adapt.,Adapting natural self-stimulatory behaviors into more socially acceptable or less noticeable forms.,"If you bite your nails, try chewing gum. If you pace, try walking circles while on a call. Find subtle replacements that still provide sensory input.","stimming, self-regulation, sensory input, social adaptation, coping mechanism, discreet, neurodiversity"
"The ""Info Dump Notes""",45935,Cognitive Management,"Quickly jotting down overwhelming thoughts or ideas to clear your mind and externalize mental clutter, without needing to act on them immediately.","Keep a dedicated notebook or digital document for ""info dumps"" where you quickly write down every thought, worry, or idea that comes to mind, then set it aside.","cognitive offloading, mental clutter, overwhelm, anxiety, thought organization, external memory, executive function"
Micro-Rewards for Tiny Tasks,1,Motivation/Behavioral Activation,"Implementing small, immediate, and satisfying rewards for completing even the smallest, most dreaded steps.","After sending that email, allow yourself 2 minutes of a favorite silly video, or a square of chocolate, to reinforce the tiny effort.","motivation, behavioral activation, rewards, procrastination, task initiation, habit formation"
Auditory Landscapes,Variable,Sensory Regulation/Focus,"Creating a personalized sound environment (e.g., specific playlists, nature sounds, white/pink noise) to aid focus or relaxation.","Experiment with different types of background sound — rain, forest sounds, instrumental game soundtracks, or specific frequency noises — to find what helps you focus or relax best.","sensory regulation, auditory processing, focus, relaxation, sound environment, concentration, soundscape"
Routine Resets,45935,Routine Management,"Having a specific set of actions to perform when a routine is broken or feels off, to help get back on track.","If your morning routine falls apart, have a ""reset"" sequence (e.g., brush teeth, drink water, put on comfy clothes) to regain a sense of control.","routine management, habit breaking, re-establishing routine, self-regulation, control, predictability"
"The ""Decision Fatigue Prevention""",45935,Executive Function/Energy,Reducing the number of minor daily decisions to conserve mental energy for more important choices.,"Pre-plan meals, lay out clothes the night before, or create default choices for common scenarios (e.g., always ordering the same coffee).","decision fatigue, executive function, energy conservation, mental load, productivity, planning, cognitive load"
Visual Timers for Transitions,45689,Time Management/Transitions,"Using physical or app-based visual timers to clearly delineate work periods, breaks, or transitions.","Use a sand timer, a Time Timer (shows time depleting visually), or a large digital timer to help internalize time and prepare for changes in activity.","time management, transitions, time perception, executive function, predictability, routine, visual aids"
Sensory Safe Spaces,Variable,Environmental Accommodation,Identifying or creating specific locations (even small ones) where you know you will not be overwhelmed by sensory input.,"This could be a specific chair in your home, a quiet park bench, or even just your car, where you can retreat when feeling overstimulated.","sensory safe spaces, environmental accommodation, overwhelm, regulation, comfort, neurodiversity, autism"
Permission to Pivot,1,Productivity/Self-Compassion,"Allowing yourself to switch tasks or change plans when energy or focus shifts, rather than forcing unproductive work.","If a task isn't working or your brain isn't cooperating, give yourself permission to switch to something else or take a break, rather than pushing through unproductively.","productivity, self-compassion, flexible thinking, task switching, energy management, burnout prevention"
"The ""Fidget Bag/Pouch""",1,Sensory Regulation/Portability,"Carrying a small, dedicated bag or pouch containing a variety of your most effective fidgets and sensory tools.","Assemble a small, portable pouch with your go-to fidgets, chewing gum, a small stress ball, or other discreet sensory tools for use on the go.","sensory regulation, fidgets, self-soothing, portability, discreet tools, anxiety management"
Parallel Tasking (with Media),Variable,Focus/Motivation,"Using a familiar, low-demand TV show, podcast, or background noise to ""fill"" sensory space while performing boring or routine tasks.","Play a comfort show you've seen many times, a podcast you enjoy, or white noise in the background while doing chores, cooking, or other tasks that don't require full auditory focus.","focus, motivation, background stimulation, routine tasks, sensory regulation, ADHD"
Scheduled Decompression,15-30,Energy Management/Burnout Prev.,Deliberately blocking out time in your schedule for unwinding and de-stressing after social events or demanding tasks.,"After a work meeting, social gathering, or a period of high focus, schedule 15-30 minutes of quiet, low-demand time for yourself to decompress.","energy management, burnout prevention, decompression, self-care, social fatigue, stress reduction, autism, autistic burnout"
Verbal Processing Out Loud,45935,Cognitive Management,"Talking through thoughts, problems, or plans out loud (to oneself, a pet, or a very patient person) to organize ideas.","When feeling stuck or overwhelmed by thoughts, verbally articulate them out loud, as if explaining them to someone else, to help process and structure them.","verbal processing, thought organization, problem-solving, cognitive load, externalization, clarity"
"The ""Do-One-Thing"" Rule",1,Overwhelm Reduction/Activation,"When overwhelmed, commit to doing only one tiny, manageable step towards a larger task.","If a room needs cleaning, just pick up one item. If you need to send emails, just open the email client. The goal is just to start one thing.","overwhelm reduction, task initiation, behavioral activation, procrastination, tiny steps, momentum, anxiety, grounding"
Sensory Storytelling,45779,Self-Soothing/Mindfulness,Mentally describing your sensory experience in detail as a way to ground yourself or process input.,"When feeling overwhelmed by a sensory input (e.g., a loud noise), mentally describe it to yourself: ""That is a high-pitched, vibrating sound, coming from the fan on the left.""","self-soothing, mindfulness, sensory processing, grounding, overwhelm, regulation"
"The ""Alarm Chain""",Variable,Executive Function/Transitions,"Setting multiple, sequential alarms to break down a larger task or transition into smaller, manageable steps.","For a complex morning routine, set alarms for ""wake up,"" ""get out of bed,"" ""get dressed,"" ""eat breakfast,"" etc., to prompt each step.",
Comfort Shows/Media,Variable,Emotional Regulation/Decompression,"Re-watching or re-listening to familiar, predictable media that requires low cognitive load and provides comfort.","Have a go-to list of comfort shows, movies, or albums you've seen/heard many times. Use them for background, de-stressing, or when overstimulated.",
Visual To-Do Boards,45935,Productivity/Executive Function,"Using large, highly visible boards (whiteboards, corkboards) to display tasks, schedules, or long-term goals.","Write or stick tasks/goals on a prominent board where you can see them easily, making them tangible and harder to forget. Use different colors for categories.",
